index-otel-collector-1  | 2025-11-29T15:07:38.933Z	info	targetallocator/manager.go:219	Scrape job added	{"resource": {"service.instance.id": "18280d0e-94fd-42b6-9819-c9c2e01dcec7", "service.name": "otelcol", "service.version": "0.140.1"}, "otelcol.component.id": "prometheus", "otelcol.component.kind": "receiver", "otelcol.signal": "metrics", "jobName": "otel-collector"}
index-otel-collector-1  | 2025-11-29T15:07:38.935Z	info	prometheusreceiver@v0.140.1/metrics_receiver.go:217	Starting scrape manager	{"resource": {"service.instance.id": "18280d0e-94fd-42b6-9819-c9c2e01dcec7", "service.name": "otelcol", "service.version": "0.140.1"}, "otelcol.component.id": "prometheus", "otelcol.component.kind": "receiver", "otelcol.signal": "metrics"}
index-otel-collector-1  | 2025-11-29T15:07:38.935Z	info	jaegerreceiver@v0.140.1/trace_receiver.go:212	Starting UDP server for Binary Thrift	{"resource": {"service.instance.id": "18280d0e-94fd-42b6-9819-c9c2e01dcec7", "service.name": "otelcol", "service.version": "0.140.1"}, "otelcol.component.id": "jaeger", "otelcol.component.kind": "receiver", "otelcol.signal": "traces", "endpoint": "0.0.0.0:6832"}
index-otel-collector-1  | 2025-11-29T15:07:38.935Z	info	jaegerreceiver@v0.140.1/trace_receiver.go:235	Starting UDP server for Compact Thrift	{"resource": {"service.instance.id": "18280d0e-94fd-42b6-9819-c9c2e01dcec7", "service.name": "otelcol", "service.version": "0.140.1"}, "otelcol.component.id": "jaeger", "otelcol.component.kind": "receiver", "otelcol.signal": "traces", "endpoint": "0.0.0.0:6831"}
index-otel-collector-1  | 2025-11-29T15:07:38.935Z	info	jaegerreceiver@v0.140.1/trace_receiver.go:340	Starting HTTP server for Jaeger Thrift	{"resource": {"service.instance.id": "18280d0e-94fd-42b6-9819-c9c2e01dcec7", "service.name": "otelcol", "service.version": "0.140.1"}, "otelcol.component.id": "jaeger", "otelcol.component.kind": "receiver", "otelcol.signal": "traces", "endpoint": "0.0.0.0:14268"}
index-otel-collector-1  | 2025-11-29T15:07:38.935Z	info	jaegerreceiver@v0.140.1/trace_receiver.go:366	Starting gRPC server for Jaeger Protobuf	{"resource": {"service.instance.id": "18280d0e-94fd-42b6-9819-c9c2e01dcec7", "service.name": "otelcol", "service.version": "0.140.1"}, "otelcol.component.id": "jaeger", "otelcol.component.kind": "receiver", "otelcol.signal": "traces", "endpoint": "0.0.0.0:14250"}
index-otel-collector-1  | 2025-11-29T15:07:38.936Z	info	healthcheck/handler.go:131	Health Check state change	{"resource": {"service.instance.id": "18280d0e-94fd-42b6-9819-c9c2e01dcec7", "service.name": "otelcol", "service.version": "0.140.1"}, "otelcol.component.id": "health_check", "otelcol.component.kind": "extension", "status": "ready"}
index-otel-collector-1  | 2025-11-29T15:07:38.936Z	info	service@v0.140.0/service.go:247	Everything is ready. Begin running and processing data.	{"resource": {"service.instance.id": "18280d0e-94fd-42b6-9819-c9c2e01dcec7", "service.name": "otelcol", "service.version": "0.140.1"}}
index-otel-collector-1  | 2025-11-29T15:07:47.165Z	info	Traces	{"resource": {"service.instance.id": "18280d0e-94fd-42b6-9819-c9c2e01dcec7", "service.name": "otelcol", "service.version": "0.140.1"}, "otelcol.component.id": "debug", "otelcol.component.kind": "exporter", "otelcol.signal": "traces", "resource spans": 1, "spans": 1}
index-otel-collector-1  | 2025-11-29T15:07:47.165Z	info	ResourceSpans #0
index-otel-collector-1  | Resource SchemaURL:
index-otel-collector-1  | Resource attributes:
index-otel-collector-1  |      -> service.name: Str(test-service)
index-otel-collector-1  | ScopeSpans #0
index-otel-collector-1  | ScopeSpans SchemaURL:
index-otel-collector-1  | InstrumentationScope
index-otel-collector-1  | Span #0
index-otel-collector-1  |     Trace ID       : 5b8aa5a2d2c872e8321cf37308d69df2
index-otel-collector-1  |     Parent ID      :
index-otel-collector-1  |     ID             : 051581bf3cb55c13
index-otel-collector-1  |     Name           : test-span
index-otel-collector-1  |     Kind           : Internal
index-otel-collector-1  |     Start time     : 2022-01-01 00:00:00 +0000 UTC
index-otel-collector-1  |     End time       : 2022-01-01 00:00:01 +0000 UTC
index-otel-collector-1  |     Status code    : Unset
index-otel-collector-1  |     Status message :
index-otel-collector-1  | 	{"resource": {"service.instance.id": "18280d0e-94fd-42b6-9819-c9c2e01dcec7", "service.name": "otelcol", "service.version": "0.140.1"}, "otelcol.component.id": "debug", "otelcol.component.kind": "exporter", "otelcol.signal": "traces"}
index-otel-collector-1  | 2025-11-29T15:07:51.382Z	info	Metrics	{"resource": {"service.instance.id": "18280d0e-94fd-42b6-9819-c9c2e01dcec7", "service.name": "otelcol", "service.version": "0.140.1"}, "otelcol.component.id": "debug", "otelcol.component.kind": "exporter", "otelcol.signal": "metrics", "resource metrics": 1, "metrics": 20, "data points": 21}
index-otel-collector-1  | 2025-11-29T15:07:51.382Z	info	ResourceMetrics #0
index-otel-collector-1  | Resource SchemaURL:
index-otel-collector-1  | Resource attributes:
index-otel-collector-1  |      -> service.name: Str(otelcol)
index-otel-collector-1  |      -> service.instance.id: Str(18280d0e-94fd-42b6-9819-c9c2e01dcec7)
index-otel-collector-1  |      -> server.port: Str(8888)
index-otel-collector-1  |      -> url.scheme: Str(http)
index-otel-collector-1  |      -> service.version: Str(0.140.1)
index-otel-collector-1  | ScopeMetrics #0
index-otel-collector-1  | ScopeMetrics SchemaURL:
index-otel-collector-1  | InstrumentationScope github.com/open-telemetry/opentelemetry-collector-contrib/receiver/prometheusreceiver 0.140.1
index-otel-collector-1  | Metric #0
index-otel-collector-1  | Descriptor:
index-otel-collector-1  |      -> Name: otelcol_receiver_accepted_spans
index-otel-collector-1  |      -> Description: Number of spans successfully pushed into the pipeline. [Alpha]
index-otel-collector-1  |      -> Unit:
index-otel-collector-1  |      -> DataType: Sum
index-otel-collector-1  |      -> IsMonotonic: true
index-otel-collector-1  |      -> AggregationTemporality: Cumulative
index-otel-collector-1  | NumberDataPoints #0
index-otel-collector-1  | Data point attributes:
index-otel-collector-1  |      -> receiver: Str(otlp)
index-otel-collector-1  |      -> service.instance.id: Str(18280d0e-94fd-42b6-9819-c9c2e01dcec7)
index-otel-collector-1  |      -> service.name: Str(otelcol)
